created_at;;full_text;lang;username
Mon May 13 08:24:21 +0000 2024;;@T0M5helby Mubadzir banget ikn kalo gaa dotempatin;in;JayaKatwang15
Mon May 13 08:23:21 +0000 2024;;Kenapa @DPR_RI ogah pindah ke IKN bukankah proyek/pemindahan IKN berdasarkan UU yang dibuat oleh Pemerintah &amp;in;rithieriii
Mon May 13 08:22:26 +0000 2024;;@MafiaWasit @KemenPU Uangnya buat IKN ga sih buat apa menyenangkan rakyat prioritas negara itu pejabat;in;NurIchs85194019
Mon May 13 08:21:12 +0000 2024;;@T0M5helby Semenjak kang ngibul ketahuan bohongnya gw jadi pesimis dg IKN itu proyek akal2annya dia saja ternyata.;in;morninghascome_
Mon May 13 08:19:05 +0000 2024;;@salohcinnavi Padahal ancaman ke depan bakal ada krisis pangan tp pemerintah sibuk sma IKN;in;Rockgar12
Mon May 13 08:18:36 +0000 2024;;@razakthaib19 @LebahBorneoR @DokterTifa memang pindah ke ikn bisa hidup abadi? jakarta mau tenggelam kapan bro apa kamu ngak yg lebih dulu tenggelam ke dlm tanah di ikn banyak nyamuk malaria mending di jakarta banyak pencinta dunia malam yg bisa donor dar;in;pikirankku
Mon May 13 08:18:14 +0000 2024;;@detikcom Tunggu IKN;in;eddemhessam5
Mon May 13 08:16:51 +0000 2024;;@detikcom Ikn sih Napa jadi ikan;in;ibaladi
Mon May 13 08:13:58 +0000 2024;;@PngAdilnR4kyt Warga negara kalimantan sadarlah IKN hanya kedok.....;in;itssugiii
Mon May 13 08:13:21 +0000 2024;;@ebe_ganzo @DS_yantie @prabowo wong LIBERALISASI dimulai dari sini kok SEMUA ANGGARAN KE IKN! UNIVERSITAS URUS MASING-MASING! https://t.co/r2lKx4dMKK;in;patriotiku
Mon May 13 08:12:56 +0000 2024;;@NordickVv @eddesign_ @BBerizik @blantik_pedhet2 Apa harus dipenajam kah? Pdhl ada tanah negara yg tdk harus pakai ganti rugi tuk IKN nya?;in;jjsengui
Mon May 13 08:12:49 +0000 2024;;Pemerintah terus berupaya membangun sistem pertahanan cerdas di IKN Nusantara. Sistem pertahanan cerdas harus dibangun di IKN karena daerah tersebut nantinya akan menjadi pusat pemerintahan Indonesia serta sesuai dengan rencana induk sistem pertahanan negara di IKN. https://t.co/cXbPNrHOjH;in;Nagashima_007
Mon May 13 08:12:04 +0000 2024;;@T0M5helby Harusnya pindah ke IKN...sepi ya pasti. Tapi ada kenikmatan dalam kesepian bisa kongkalingkong dalam dalam banyak hal.;in;PolitikLingkar
Mon May 13 08:11:56 +0000 2024;;2-3 th kedepan bisnis Travel &amp;in;Bang_Bidji
Mon May 13 08:10:41 +0000 2024;;@susipudjiastuti Yg penting IKN jadi dulu Bu;in;PolitikLingkar
Mon May 13 08:09:59 +0000 2024;;@T0M5helby Kalau presiden terpilih ga mau tinggal di IKN buat anak lanang aja .;in;alienjawa404
Mon May 13 08:07:22 +0000 2024;;@geloraco Buat 17 san di IKN doang telan dana triliunan buat para panitia dan pejabat menginap di hotel berbintang miris uang negara dihambur²kan buat yg ga penting;in;Iwantrianto6
Mon May 13 08:07:16 +0000 2024;;@ARSIPAJA goblok anjeng ngentot itu duit IKN udah abis kah;in;nurifadhilah9
Mon May 13 08:06:53 +0000 2024;;Mulai detik ini gw tidak akan support IKN IKN ANJING;in;agonynio
Mon May 13 08:04:59 +0000 2024;;@jokowi berapa puluh juta pedagang kecil yg bisa dibantu kalau dana ikn dialihkan buat mrk pak?;in;AkunGratisan
Mon May 13 08:04:33 +0000 2024;;kadang juga bingung kenapa kalo emang mau majuin indo harus bangun IKN. Duit buat bangun tuh IKN padahal bisa buat yg lain ya meskipun ga segampang itu. tapi kek buat apa anjir tuh IKN mana rumah dinas menterinya mahal bgt nilainya. taik emang;in;roymz_13
Mon May 13 08:03:46 +0000 2024;;Nunggu ikn beres ya gaiess;in;ncippppoo
Mon May 13 08:03:06 +0000 2024;;Menjelajahi Terowongan Multi Utilitas IKN Saluran yang Musnahkan Kabel Menggantung di Ibu Kota ~N #TerowonganMultiUtilitas #IKN https://t.co/vflSiQdtLX;in;ponsel33693
Mon May 13 07:46:12 +0000 2024;;@DokterTifa Mending semua pabrik pabrik di jabodetabek pindahkan ke ikn. Biar berkurang jauh bebanya;in;kompascom
Mon May 13 07:45:05 +0000 2024;;@DokterTifa Wah gak bisa booking lagi kalau di IKN kata anggota DPR. Booking tiket maksudnya ;in;kidoelkoe
Mon May 13 07:43:22 +0000 2024;;@DokterTifa AHY mau pindah ke IKN Krn sdh menikmati suasana di sana ️️️;in;jokosis190985
Mon May 13 07:42:27 +0000 2024;;@C_D3pp Tinggal 1 opsi Makan gratis berjalan tp konsekuensinya IKN mangkrak;in;bebekcabepedes
Mon May 13 07:42:19 +0000 2024;;@Nagashima_007 @eddesign_ @BBerizik @blantik_pedhet2 IKN diKaltim bukan diKalteng. Kalo IKN diKalteng maka saya &amp;in;Syahruzy44356
Mon May 13 07:42:09 +0000 2024;;Mari kita dukung pembangunan IKN https://t.co/S8KhRhFAYs;in;jokosis190985
Mon May 13 07:40:03 +0000 2024;;@Nagashima_007 @BBerizik @blantik_pedhet2 Wwkwkwkwk lahan di IKn jadi milik petani cina...cek n ricek sendiri kesana;in;VanessaPadmana7
Mon May 13 07:39:56 +0000 2024;;@detikcom Andai duit IKN dipakai untuk perbaikan jalan berapa ribu KM jalan layak yg bisa dibuat?;in;BelengFull
Mon May 13 07:39:52 +0000 2024;;Pembangunan IKN Dan Visi Masa Depan Bangsa Dalam Model Dan Paradigma Komunikasi Pembangunan. https://t.co/QOzwqemxoe;in;Rionaldiox
Mon May 13 07:39:12 +0000 2024;;Prabowo Tegaskan Komitmen untuk Kesehjahteraan Masyarakat Adat di IKN - https://t.co/aVfGJZloC6 https://t.co/teJXU2rMjE;in;VanessaPadmana7
Mon May 13 07:37:38 +0000 2024;;Pesona Gua Tapak Raja Menjadi Unggulan Daya Tarik Wisata Di IKN. 10 di Bali PO Bus OBnya Aurora Geby Garnacho https://t.co/CPh0YRPbqj;in;smartizen_
Mon May 13 07:35:53 +0000 2024;;@miawmeow_ fix pindah ikn?;in;salsabilafhazil
Mon May 13 07:35:52 +0000 2024;;Upaya Mengatasi Kesenjangan Proyek IKN Berhasil Tarik Minat Investasi Denmark. 10 di Bali PO Bus Geby SMK Lingga Kencana Depok Siang OBnya https://t.co/GtL0HLqhZG;in;mrwarek
Mon May 13 07:35:11 +0000 2024;;Zero stunting bukan sekadar mimpi di IKN tapi komitmen nyata untuk menciptakan generasi penerus yang sehat dan tangguh. #MUNARS https://t.co/Fr3o9OGHF1;in;NeysaAlsharaa
Mon May 13 07:34:39 +0000 2024;;Zero stunting bukan sekadar mimpi di IKN tapi komitmen nyata untuk menciptakan generasi penerus yang sehat dan tangguh. #MUNARS https://t.co/9Fp7OwK24l;in;andini8489
Mon May 13 07:34:30 +0000 2024;;Zero stunting bukan sekadar mimpi di IKN tapi komitmen nyata untuk menciptakan generasi penerus yang sehat dan tangguh. #MUNARS https://t.co/84509eY4dQ;in;viavall6
